"title","wikibase_item","Studio"
"ブレス しあわせの呼吸","Q27703270","studio = {{Plainlist"
"バッドタイム","Q301768","studio = <!-- or: "
"歌麿をめぐる五人の女 (1946年の映画)","Q2972869","studio = [[松竹]]（[[松竹京都撮影所]]）{{Sfn"
"噂の女 (1954年の映画)","Q3549471","studio = [[大映]] "
"チェチェンへようこそ ―ゲイの粛清―","Q83795548","studio = {{Plainlist"
"生きのびるために (2017年の映画)","Q19862858","studio = {{Plainlist"
"トゥイーティーのフライング・アドベンチャー 80日間世界一周大冒険","Q3991955","studio = [[ワーナー・ブラザース・アニメーション]] "
"夢の女 (1993年の映画)","Q8050952","studio = [[松竹]]{{Sfn"
"乱菊物語","Q7292830","studio = [[東宝]]{{Sfn"
"すばらしき映画音楽たち","Q28912378","studio = エピクレフ・メディア (Epicleff Media) "
"ボルグ/マッケンロー 氷の男と炎の男","Q27590730","studio = [[:en:SF Studios"
"郷愁 (1988年の映画)","Q120333582","studio = プロジェクト・エー{{Sfn"
"竜宮城 (映画)","Q2249686","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"裸の太陽 (映画)","Q6960496","studio = {{Flagicon"
"ジュラシック・シャーク","Q15040698","studio = {{unbulleted list"
"東京五人男","Q109361223","studio = [[東宝]]{{R"
"オールド・ジョイ","Q2018403","studio = {{Plainlist "
"ラブストーリーズ","Q7730284","studio = {{Plainlist"
"アースリングス","Q1277684","studio = | distributor = ネイションアース "
"彼女と彼 (1963年の映画)","Q6364214","studio = [[岩波映画製作所]]{{Sfn"
"ラッカは静かに虐殺されている","Q30163735","studio = Our Time Projects "
"ヒッチ・ハイカー","Q2625053","studio = {{plainlist"
"赤死病の仮面 (1964年の映画)","Q2225929","studio = アルタ・ビスタプロダクション "
"荒野に生きる","Q1304929","studio = | distributor = [[ワーナー・ブラザース]] "
"ブリキの勲章 (映画)","Q1955732","studio = 中山映画株式会社{{Sfn"
"恋文 (1953年の映画)","Q6690927","studio = [[新東宝]]{{Sfn"
"朱雀門 (映画)","Q7650664","studio = [[大映]]（[[大映京都撮影所]]）{{Sfn"
"民衆の敵 (1978年の映画)","Q4360765","studio = [[ファースト・アーティスツ]] "
"マイ・サンシャイン","Q28517709","studio = {{仮リンク"
"ブラックシープ","Q464316","studio = {{plainlist"
"DEMON デーモン","Q18703027","studio = Enderby Entertainment <br> [[:en:The Gotham Group"
"カンヌ映画祭殺人事件","Q3024211","studio = [[M6 (TV channel)"
"再会の奈良","Q110356309","studio = 福建恒業影業有限公司<br>奈良国際映画祭<br>北京西河星匯影業有限公司<br>北京恒業牧馬人影視文化伝播公司<br>日本21社団株式会社<br>克諾影視伝媒（北京）有限公司 "
"嫁ぐ日まで (1940年の映画)","Q7828422","studio = [[東宝映画]]（[[東宝映画東京撮影所]]）{{Sfn"
"夜の鼓","Q55662967","studio = [[現代ぷろだくしょん]]{{Sfn"
"甘い汗","Q26720599","studio = [[東京映画]]{{Sfn"
"エルヴィスとニクソン 〜写真に隠された真実〜","Q18914954","studio = {{Plainlist"
"ニューヨーク デイドリーム","Q7823964","studio = Black Swan Productions<br />Dream Search Entertainment "
"千姫 (1954年の映画)","Q7758312","studio = [[大映]]（[[大映京都撮影所]]）{{Sfn"
"トニ (1935年の映画)","Q639795","studio = [[Films Marcel Pagnol]] "
"ジェームズ・ボンドを夢見た男","Q15925533","studio = [[:en:Ecosse Films"
"ジュリエッタ (映画)","Q20026867","studio = エル・デセオ "
"朱花の月","Q379237","studio = 「朱花の月」製作委員会（橿原・高市広域行政事務組合、組画）{{Sfn"
"バーシティ・ブルース","Q549889","studio = [[MTVフィルムズ"
"聖林ホテル","Q12124807","studio = ファースト・ナショナル・ピクチャーズ "
"みかへりの塔","Q58027639","studio = [[松竹]]（[[松竹大船撮影所]]<ref>{{Cite moviedb"
"ニッキー・ベンツ","Q233140","studio = | associatedact = "
"藤十郎の恋 (1955年の映画)","Q7862671","studio = [[大映]]（[[大映京都撮影所]]）{{Sfn"
"北朝鮮強制収容所に生まれて","Q1029741","studio = <!-- or: "
"青春ジャズ娘","Q109364369","studio = [[新東宝]]{{Sfn"
"愛しのシバよ帰れ","Q1737875","studio = [[パラマウント映画]]{{Sfn"
"とんかつ大将","Q109363770","studio = [[松竹]]（[[松竹大船撮影所]]）{{Sfn"
"嵐 (小説)","Q105962961","studio = {{Flagicon"
"男性の好きなスポーツ","Q1185956","studio = ジブラルタル・プロダクション<br>ローレル・プロダクション "
"浅草の灯 (1937年の映画)","Q120335279","studio = [[松竹]]（[[松竹大船撮影所]]）{{Sfn"
"ストライク・アップ・ザ・バンド (映画)","Q615028","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"女工哀歌","Q1440188","studio = | distributor = "
"チラーズ","Q5247911","studio = [[ヴィヴィッド・エンターテインメント]] "
"悪人に平穏なし","Q2712855","studio = [[テレシンコ]]・シネマ<br>ラソーナ・フィルムズ<br>マント・フィルムズ "
"Z Bull ゼット・ブル","Q27962641","studio = {{Plainlist"
"キャビン・イン・ザ・スカイ (映画)","Q1024839","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"ガール・クレイジー (1943年の映画)","Q1526747","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"おかしな赤頭巾","Q2659358","studio = | distributor = [[ロウズ・シネプレックス・エンターテインメント"
"レーザーブラスト","Q1759309","studio = {{仮リンク"
"ウィークエンド・アウェイ","Q111133781","studio = 42 "
"サンライズ・アダムス","Q242232","studio = | associatedact = "
"姦婦の生き埋葬","Q1625566","studio = サンタクララプロダクション "
"青春一座 (映画)","Q632753","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"燃える昆虫軍団","Q2474464","studio = [[パラマウント・ピクチャーズ]] "
"あかね雲 (映画)","Q120335041","studio = 表現社{{Sfn"
"黒猫の棲む館","Q1168586","studio = [[アメリカ・インターナショナル・ピクチャーズ"
"最‘恐?!’絶叫計画","Q1917007","studio = ボー・プロダクションズ "
"チコと鮫","Q22812731","studio = | distributor = {{ITA}} [[ティタヌス]]<br>{{JPN}} [[角川ヘラルド・ピクチャーズ"
"怪僧ラスプーチン (1932年の映画)","Q827064","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"トムとジェリー カウボーイ・アップ!","Q109409675","studio = [[ターナー・エンターテイメント]]<br>[[ワーナー・ブラザース・アニメーション]]<br>[[Renegade Animation]] "
"エリート養成機関 ナポラ","Q819084","studio = Seven Pictures "
"エノケンのちゃっきり金太","Q109367811","studio = [[P.C.L.映画製作所]]{{Sfn"
"浪花女","Q61984272","studio = 特作プロダクション{{Sfn"
"まらそん侍","Q109362697","studio = [[大映]]（[[大映京都撮影所]]）{{Sfn"
"怪僧ラスプーチン (1954年の映画)","Q3419869","studio = {{ubl"
"やきもちやき","Q5024674","studio = [[Rembrandt Films]] "
"惜春 (1967年の映画)","Q6684259","studio = [[松竹]]（[[松竹大船撮影所]]）{{Sfn"
"秘密のまほう管理局","Q104868863","studio = {{plainlist "
"仮面の米国","Q944624","studio = [[ヴァイタフォン株式会社]] "
"呪われた城","Q1950050","studio = 20世紀FOX "
"波 (1952年の映画)","Q6961714","studio = [[松竹]]（[[松竹大船撮影所]]）{{Sfn"
"フォー・ミー・アンド・マイ・ギャル (映画)","Q2371931","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"カモにされたカモ","Q546029","studio = [[ワーナー・ブラザース]] "
"女の暦","Q7094375","studio = [[新東宝]]{{Sfn"
"南海の劫火 (1932年の映画)","Q3117557","studio = [[RKO]]ラジオ・ピクチャーズ "
"ケープタウン (1975年の映画)","Q1143625","studio = バウム/ダンティンプロダクション<br>Optimus Productions Ltd. "
"恐怖のいけにえ","Q7771698","studio = Triune Films (II) "
"ドーベルマン・ギャング","Q4752738","studio = ロザモンド・プロダクションズ "
"ラウド・ハウス・ムービー","Q107798322","studio = [[ニコロデオン・ムービーズ]]<br />[[英国映画協会]] "
"おもちゃの王国","Q2877834","studio = [[ウォルト・ディズニー・アニメーション・スタジオ"
"あきれた娘たち","Q4701202","studio = [[新東宝]]{{Sfn"
"沈黙の叫び","Q2339317","studio = | distributor = アメリカン・ポートレート・フィルムズ "
"家族X","Q5915809","studio = | distributor = [[ユーロスペース]] "
"人造人間クエスター","Q7759069","studio = | distributor = [[NBC]] "
"大阪の宿","Q19614592","studio = [[新東宝]]{{Sfn"
"折鶴お千","Q3207420","studio = 第一映画社{{Sfn"
"あれが港の灯だ","Q109357743","studio = [[東映]]（[[東映東京撮影所]]）{{Sfn"
"最高の人生 (映画)","Q609857","studio = [[スタジオカナル]]<br />[[:en:Revelations Entertainment"
"ブッチ・キャシディ -最後のガンマン-","Q593718","studio = {{Plainlist"
"姉妹 (1955年の映画)","Q55664299","studio = 中央映画{{Sfn"
"宮本武蔵 一乗寺決闘 (1942年の映画)","Q105064138","studio = [[日活]]（[[日活京都撮影所]]）{{Sfn"
"グレッグのダメ日記 (2021年の映画)","Q108549760","studio = [[ウォルト・ディズニー・ピクチャーズ]]<br>{{仮リンク"
"スピルバーグ!","Q41816257","studio = {{仮リンク"
"リフレクション (2021年の映画)","Q107662862","studio = Arsenal Films {{small"
"複数犯罪","Q759473","studio = {{仮リンク"
"万雷の歓呼","Q2604605","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"ピンク騒動","Q1146308","studio = [[ディパティエ・フレレング・エンタープライズ]]<br>{{small"
"弥太郎笠 (1957年の映画)","Q8050171","studio = [[大映]]（[[大映京都撮影所]]）{{Sfn"
"とんぼ返り道中","Q7820764","studio = [[松竹]]（[[松竹京都撮影所]]）{{Sfn"
"荒野のドラゴン","Q874701","studio = C.B.A. Produttori e Distributori Associati<br>Compagnia Cinematografica Champion "
"ワーズ&ミュージック","Q1507560","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"女人哀愁","Q60854203","studio = [[P.C.L.映画製作所]]{{Sfn"
"ダイヤモンド・コネクション","Q6470238","studio = トゥモロー・エンターテイメント "
"ドク・ホリディ (映画)","Q205903","studio = FPフィルムズ "
"呪われたジェシカ","Q4313024","studio = ジェシカ・カンパニー "
"大阪の女 (映画)","Q120335222","studio = [[大映]]（[[大映東京撮影所]]）{{Sfn"
"夜間飛行 (2014年の映画)","Q16256462","studio = Cinema DAL "
"ダイアモンド・ヘッド (映画)","Q1138626","studio = ジェリー・ブレスラー・プロダクションズ "
"プリズン211","Q1052975","studio = バカ・フィルムズ<br>[[テレシンコ"
"自由の日 (映画)","Q497617","studio = Reichsparteitag-Film "
"悲しみに、こんにちは","Q29963333","studio = アヴァロン "
"愛憎峠","Q4699475","studio = [[日活]]（[[日活多摩川撮影所]]）{{Sfn"
"待ちぼうけの女","Q109361782","studio = [[松竹]]（[[松竹京都撮影所]]）{{Sfn"
"青空狂騒曲 (1931年の映画)","Q5463440","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"野生の眼/世紀末猟奇地帯","Q869055","studio = | distributor = "
"女房は生きていた","Q948836","studio = [[20世紀フォックス]] "
"フーピー (映画)","Q2567265","studio = サミュエル・ゴールドウィン・プロダクションズ "
"シュニッツェル (映画)","Q20744358","studio = <!-- or: "
"サラブレッド・ドント・クライ","Q2489647","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"泣きぬれた人形","Q120335259","studio = [[松竹]]（[[松竹京都撮影所]]）{{Sfn"
"女の男","Q7713384","studio = [[フェイマス・プレイヤーズ＝ラスキー]] "
"芸道一代男 (映画)","Q120335267","studio = 特作プロダクション{{Sfn"
"人間狩り (映画)","Q120333657","studio = [[ユニバーサル・ピクチャーズ]] "
"ウィークエンド・ラブ","Q1622883","studio = {{仮リンク"
"テンダーロイン (映画)","Q7699624","studio = [[ワーナー・ブラザース]] "
"突貫勘太","Q3795467","studio = サミュエル・ゴールドウィン・プロダクションズ "
"カンターの闘牛師","Q266656","studio = サミュエル・ゴールドウィン・プロダクションズ "
"ステージドア・キャンティーン (映画)","Q3108556","studio = プリンシパル・アーティスツ・プロダクションズ "
"チャイナ・ガール (1987年の映画)","Q677794","studio = | distributor = {{仮リンク"
"ウィンドウ・ホーセズ","Q26252648","studio = | distributor = "
"写真家ソール・ライター 急がない人生で見つけた13のこと","Q61740799","studio = | distributor = {{flagicon"
"婿探し千万弗","Q20649536","studio = [[ワーナー・ブラザース]] "
"アンディ・ハーディ・ミーツ・デビュタント","Q2500228","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"七人の脱走兵","Q3824325","studio = パノラマプロダクション "
"ランナウェイ (1977年の映画)","Q3548465","studio = 20世紀フォックス "
"X線 (映画)","Q5237210","studio = G・A・スミス "
"対決 (1973年の映画)","Q3282975","studio = ユニバーサル映画 "
"虚栄の市 (1923年の映画)","Q3822346","studio = ユーゴー・ボーリン・プロダクションズ "
"モン・ロワ 愛を巡るそれぞれの理由","Q19798030","studio = Les Productions du Trésor <br> [[フランス2]]<br>[[スタジオカナル]]<br>Arches Films "
"猛犬ご注意","Q2406141","studio = [[ウォルト・ディズニー・ピクチャーズ"
"サンセット・トーマス","Q462312","studio = | associatedact = "
"三人のあらくれ者","Q3284994","studio = [[パラマウント・ピクチャーズ]] "
"蛇女の脅怖","Q2335138","studio = [[ハマー・フィルム]] "
"鬼斬り若様","Q7776770","studio = [[大映]]（[[大映京都撮影所]]）{{Sfn"
"殺人カメラ","Q3210245","studio = Tevere Film <br> Universalia Film "
"彼女の権利、彼らの決断","Q56706475","studio = [[Netflix]] "
"羅馬太平記","Q3794927","studio = サミュエル・ゴールドウィン・プロダクションズ "
"ある戦争","Q19590783","studio = {{Plainlist"
"メンズクラブ/真夜中の情事","Q4305892","studio = [[:en:Atlantic Entertainment Group"
"将軍暁に死す","Q1193850","studio = | distributor = [[パラマウントピクチャーズ]] "
"私刑される女","Q15631399","studio = [[リパブリック・ピクチャーズ]] "
"Verax","Q13584241","studio = J.Shot Videos, Fallout Media, Immortal Peach "
"誘拐騒動/ニャンタッチャブル","Q662668","studio = [[ウォルト・ディズニー・ピクチャーズ]]<br>Robert Simonds Productions "
"恋の浮島 (1982年の映画)","Q4657463","studio = マス・フィルム・プロ{{Sfn"
"パニック (1946年の映画)","Q1764591","studio = Filmsonor<ref name=""bifi"">{{cite web"
"不肯去観音","Q16078584","studio = 北京絲賓絲文化伝媒有限公司<br>無錫広播電視集団<br>普陀山風景名勝区管理委員会<br>恵州同人同業投資管理有限公司 "
"サンフランシスコ大空港","Q2671562","studio = | distributor = [[NBC]] "
"砂の城・人妻マーガレットの場合","Q3282580","studio = バーウッド・フィルムズ<br>{{仮リンク"
"パジャマゲーム (映画)","Q1298926","studio = [[ワーナー・ブラザース]] "
"エッジ・オブ・セブンティーン (映画)","Q2578148","studio = Luna Pictures<br />Blue Streak Films "
"おどろき一家","Q7078040","studio = [[太泉映画]]{{Sfn"
"ウォタルー街","Q7974278","studio = {{仮リンク"
"ギジェット・ゴーズ・トゥ・ローマ","Q5559694","studio = [[コロンビア ピクチャーズ]] "
"武力の説教","Q3400499","studio = [[ニューヨークモーションピクチャーズ]] "
"雪原の追跡","Q3606435","studio = RKO "
"ブロードウェイ・セレナーデ","Q3645188","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"洋上のロマンス","Q148469","studio = [[マイケル・カーティス]]・プロダクションズ "
"間奏曲 (映画)","Q3799495","studio = ユニバーサル・ピクチャーズ "
"太陽を盗め","Q5312392","studio = マーティン・マヌリス・プロダクションズ "
"クロスローズ・トゥ・クライム","Q5188855","studio = [[APフィルムズ]] "
"狼の唄","Q3221032","studio = [[パラマウント映画]] "
"アメリカン・ラビットの冒険","Q7712685","studio = [[ムラカミ・ウルフ・スウェンソン]]<br />[[東映アニメーション]] "
"処女ニンフのモナ","Q6897745","studio = | distributor = "
"僕は御免だ","Q3841867","studio = パールシー (Pearlsea) "
"アンタークティカ:ア・イヤー・オン・アイス","Q16961661","studio = | distributor = "
"コール・ミー・ミスター (映画)","Q5021557","studio = | distributor = [[20世紀フォックス]] "
"ナット (1921年の映画)","Q2024236","studio = Douglas Fairbanks Pictures<br />[[ユナイテッド・アーティスツ]] "
"暴力帝国","Q15542790","studio = リパブリック・ピクチャーズ "
"THE BODY 肉体","Q7718978","studio = ケストレル・フィルムズ "
"天国爆撃隊","Q7537297","studio = The Caddo Co. "
"ジャバへの順風","Q3535887","studio = リパブリック・ピクチャーズ "
"アイ・リブ・フォー・ラブ","Q20814568","studio = [[ワーナー・ブラザース]] "
"ザ・フラッパー","Q1752022","studio = {{仮リンク"
"カリアンテ","Q2373103","studio = ワーナー・ブラザース "
"就職戦術","Q20022621","studio = コスモポリタン・プロダクションズ "
"ザ・オカルトハウス/対決!超能力の男vs悪魔の化身","Q4841332","studio = Arena Productions<br>{{仮リンク"
"金塊争奪","Q3372909","studio = [[:en:Warner Bros. Cartoons"
"嵐の中の母","Q3547365","studio = [[東映]]（[[東映東京撮影所]]）{{Sfn"
"浮世の常","Q4018655","studio = {{仮リンク"
"ニンジャ:インポッシブル","Q1326153","studio = | distributor = [[:en:Euforia Film"
"灰色の石の中で","Q1571265","studio = {{仮リンク"
"燃えたぎる時","Q3950846","studio = Grupo Cine Liberacion<br>Solanas Productions "
"雪の国境突破!脱獄作戦","Q56559644","studio = | distributor = [[NBC]] "
"夜の逃亡者・国境線は遠かった","Q114276491","studio = | distributor = "
"新・悪魔の棲む家","Q120333648","studio = ラングーン・プロダクションズ<ref name=bfi>{{cite web"
"エブリワンズ・ヒーロー","Q1847868","studio = [[IDTエンターテインメント]]<ref name=afi>{{cite web"
"金正日花 (映画)","Q10855884","studio = <!-- or: "
"夜の世界","Q12126582","studio = [[ユニバーサル・ピクチャーズ]] "
"唄う陸戦隊","Q7764422","studio = ワーナー・ブラザース "
"浮気成金","Q3877425","studio = ファースト・ナショナル・ピクチャーズ "
"チャナード・セゲディを生きる","Q24660056","studio = AJH Films<br />Passion Pictures "
"ワンダー・バー","Q821767","studio = ファースト・ナショナル・ピクチャーズ "
"濁流 (1934年の映画)","Q2433523","studio = [[20世紀ピクチャーズ"
"爆音と大地","Q97315390","studio = [[東映]]（[[東映東京撮影所]]）{{Sfn"
"哀楽中年","Q20814425","studio = [[文華影片公司]] "
"ブロードウェイへの2枚の切符","Q73944","studio = RKOレディオ・ピクチャーズ "
"二人の青春 (1941年の映画)","Q3214231","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"チャレンジャー (映画)","Q120335005","studio = | distributor = [[ユニバーサル・ピクチャーズ]] "
"赤い山","Q3823226","studio = ハル・ウォリス・プロダクションズ "
"地下組織 (映画)",NA,"studio = ブライトン・ピクチャーズ<br>{{仮リンク"
"ボー・ジェスト (1966年の映画)","Q1257010","studio = ユニバーサル・ピクチャーズ "
"兄貴 (1923年の映画)","Q19007176","studio = {{仮リンク"
"Neurons to Nirvana","Q18703211","studio = Mangusta Productions "
"再び戦場へ","Q5435009","studio = [[ロンドン・フィルムズ・プロダクションズ]] "
"ストライキ (1912年の映画)","Q7623764","studio = オーストラリア映画シンジケート "
"怒濤万里","Q56064180","studio = [[ルイス・B・メイヤー・ピクチャーズ"
"恋の人形","Q5201317","studio = [[サミュエル・ゴールドウィン・プロダクションズ]]<br>Madison Productions "
"明日はどっちだ (映画)","Q120335248","studio = スタジオ8プロ<br />[[新東宝]] {{Sfn"
"ブラウンの千両役者","Q4967452","studio = ワーナー・ブラザース "
"ジャスト・ア・ジゴロ (1931年の映画)","Q6316523","studio = [[メトロ・ゴールドウィン・メイヤー]] "
"西門町 (映画)","Q15914740","studio = WM Film Co., Ltd. "
"娼婦と狼男","Q6517827","studio = タイバーン・フィルム・プロダクションズ "
"烙印なき男","Q3209797","studio = [[リパブリック・ピクチャーズ]] "
"嵐に叛く女","Q6498089","studio = {{Plainlist"
"新版結婚読本","Q17497952","studio = | distributor = [[ユニバーサル・ピクチャーズ"
"刺痛我","Q7191861","studio = | distributor = "
"物言わぬ北国より","Q63565857","studio = [[ユニバーサル・スタジオ"
"恋人 (1927年の映画)","Q16252728","studio = | distributor = [[メトロ・ゴールドウィン・メイヤー"
"薔薇色遊覧船","Q7833781","studio = Reliance Pictures "
"讃美歌と拳銃","Q1041752","studio = ミッキー・ルーニー・プロダクションズ "
"深海パニック・決死の大爆破","Q7714112","studio = | distributor = [[NBC]] "
"上と下","Q3055361","studio = ラルフ・トーマス-ベティ・E・ボックス・プロダクションズ "
"轟く天地","Q7769181","studio = [[パラマウント映画]] "
"法の書 (映画)","Q5789791","studio = | distributor = "
"ザ・リザード","Q1477243","studio = | distributor = "
"ブラッキー&カヌート","Q3640799","studio = [[バロイコ]]<br>[[ルミック・スタジオ]]<br>フィルム・インベストメント・ピードモント<br>アートメル<br>タラペ "
"ならず者一家",NA,"studio = アーヴィング・アレン・プロダクションズ<br>ジェイミー・フィルム・プロダクションズ "
"ハリウッドの出番","Q3786341","studio = | distributor = [[ワーナー・ブラザース]] "
"女優メリー","Q19864665","studio = [[コロンビア・ピクチャーズ]] "
"濁流 (1947年の映画)","Q3222290","studio = [[:fr:André Verdet-Kléber"
"やくざ者 (1923年の映画)","Q19007236","studio = {{仮リンク"
"乱闘の果","Q5261989","studio = [[ユニバーサル・ピクチャーズ]] "
