"title","wikibase_item","CompanyID","QID.imdb"
"Liste des productions d'UPA","Q30754133","co18897",NA
"Belokan Productions","Q16626839","co62246",NA
"Paulo Films","Q3372798","co0006584",NA
"Néofilms","Q3347116","co0045653",NA
"Industrie Cinematografiche Italiane","Q3150583","co0021414",NA
"Larry Semon Productions","Q3218100","co0155100",NA
"Documentary Educational Resources","Q3033630","co0017395",NA
"Geijutsu Eigasha","Q3100170","co0130018",NA
"Sterling Film Company","Q3498770","co0058813",NA
"Films de la Colombe","Q3072156","co0011565",NA
"Bowers Comedy Corporation","Q2922701","co0137894",NA
"Nanoq Film","Q16666118","co0361472",NA
"Eloïse production","Q3051669","co0184324",NA
"Brentwood Film Corporation","Q16534002","co0050993",NA
"Erbe Software","Q8776769","co0255042",NA
"Metropolitan Pictures","Q18475345","co0078587",NA
"Les Productions Rivard","Q6529894","co0004360",NA
"Astra Cinematografica","Q122057250","co0132084",NA
"Maloford Productions","Q3282301","co128386",NA
"Parufamet","Q1524436","co0034406",NA
