"title","wikibase_item","CompanyID","QID.imdb"
"United Photoplay Service","Q1536079","co0127501",NA
"AgostoDos Pictures","Q16826132","co0365659",NA
"Omnifilm Entertainment","Q7090325","co0053892",NA
"The King's Consort","Q1168119","co0152630",NA
"Filmlook, Inc.","Q5449146","co0323590",NA
"Alvernia Studios","Q9149255","co0298884",NA
"Galaxy Studios","Q17054035","co0317611",NA
"Galaxy Studios","Q17054035","co0260498",NA
"Allied Film Makers","Q4732568","co0137927",NA
"My Family (series 6)","Q6945363","co0104185",NA
"Reyna Films","Q7319528","co0226749",NA
"Vanacore Music","Q5240608","co0203445",NA
"Soundelux","Q7564847","co0082400",NA
"NALA Films","Q6952279","co0154622",NA
"Golden Princess Film Production","Q5579725","co0026223",NA
"DoRo Productions","Q877706","co0211260",NA
"My Family (series 8)","Q6945366","co0104185",NA
"Copenhagen Bombay","Q12306672","co0230992",NA
"Blackfriars Street Bridge","Q4922915","co0146942",NA
"My Family (series 10)","Q6945354","co0104185",NA
"KAD Movies","Q6344919","co0111117",NA
"Cinesound Productions","Q5120892","co0042227",NA
"Paul Brownstein","Q7149554","co0022067",NA
"Youmex","Q8057787","co0031305",NA
"Jennifer Goodridge","Q6178357","co0848920",NA
"Fotosearch","Q5474018","co0245288",NA
"The Wharton Studio","Q7774371","co0119302",NA
"Dutch FilmWorks","Q2081249","co0024325",NA
"Future Thought Productions","Q5510789","co0159012",NA
"Easy Aces","Q5331093","co0050385",NA
"Irv Teibel","Q21598215","co0247527",NA
"My Family (series 9)","Q6945367","co0104185",NA
"Nicola Napoli","Q16078864","co0080235",NA
"Essgee Entertainment","Q5399867","co0099463",NA
"Diantong","Q5271725","co0122221",NA
"Christopher Morris (news presenter)","Q16104934","co0213924",NA
"Territory Studio","Q20539348","co0454255",NA
"Komuna (company)","Q6428659","co0233514",NA
"Sydney Philharmonia Choirs","Q7660091","co0231162",NA
"Mushroom Pictures","Q10590609","co0079897",NA
"British Instructional Films","Q4970126","co0103053",NA
"Burly Bear Network","Q4999319","co0180911",NA
"David Paradine Productions","Q5238369","co0103432",NA
"David Paradine Productions","Q5238369","co0103245",NA
"David Paradine Productions","Q5238369","co0076018",NA
"David Paradine Productions","Q5238369","co0103396",NA
"Cineguild Productions","Q5120665","co0113550",NA
"Manmord Sidhu","Q29452993","co0332660",NA
"Medstar Television","Q6807300","co0006447",NA
"Bedlam Productions","Q4879286","co0095111",NA
"NBCUniversal Archives","Q6952744","co0031053",NA
"NBCUniversal Archives","Q6952744","co0272957",NA
"Heron Communications","Q16251300","co0052823",NA
"Bandidos Films","Q6393277","co0023336",NA
"List of Mozambican films","Q1536295","co0443180",NA
"Aleph Producciones","Q4716170","co0033800",NA
"Embrafilme","Q16056309","co0064075",NA
"Pumpkin 3D","Q7259836","co0184042",NA
"D&E Entertainment","Q5203013","co0279492",NA
"Phranakorn Film","Q6581447","co0160166",NA
"Gary Turner (musician)","Q17056844","co0440169",NA
"Maharashtra Film Company","Q141712","co0008753",NA
"Forum Music Village","Q3748876","co0135213",NA
"Ashmont Productions","Q20312364","co0073569",NA
"Screenwest","Q7438980","co0068628",NA
"Woolf & Freedman Film Service","Q17148749","co0103069",NA
"Intelligent Creatures","Q6043991","co0108509",NA
"Maya Entertainment","Q6796686","co0136764",NA
"Francesco Rulli","Q5448907","co0322677",NA
"Townsend Entertainment","Q55636081","co0413086",NA
"Life on Fire","Q6545273","co0171407",NA
"Perennial Pictures Film Corporation","Q7167854","co0108927",NA
"Arkoff International Pictures","Q19903161","co0006136",NA
"Commonwealth Pictures","Q5153826","co0042209",NA
"Hemisphere Pictures","Q5712086","co0346292",NA
"Greenstone TV","Q5604585","co0040314",NA
"Poppa Neutrino","Q7229508","co0185861",NA
"ZIV International","Q8063117","co0037910",NA
"Enlightenment Productions","Q16991797","co0211493",NA
"BFI Production Board","Q22000245","co0041172",NA
"Headline Pictures","Q21592494","co0195590",NA
"The Shuman Company","Q21188886","co0086328",NA
"St. Clair Entertainment Group","Q7587571","co0184606",NA
"Pacific Films","Q17056375","co0055326",NA
"MediaPro Pictures","Q14637216","co0139685",NA
"Jaguar Productions (company)","Q6122898","co0066854",NA
"BD Cine","Q4835390","co0019647",NA
"Premier Asia","Q7240273","co0106236",NA
"Joseph Vogel (executive)","Q6287627","co0016037",NA
"Robert Caruso","Q7342807","co0014905",NA
"Robert D. Clark","Q7343295","co0074280",NA
"Laurel Films","Q6499790","co0164848",NA
"Roberto Treviño","Q7351926","co0403861",NA
"Trackdown Digital","Q18166926","co0243972",NA
"Trackdown Digital","Q18166926","co0241639",NA
"Trackdown Digital","Q18166926","co0158969",NA
"Trackdown Digital","Q18166926","co0082438",NA
"Central Station Design","Q5061863","co0459846",NA
"Central Station Design","Q5061863","co0138904",NA
"Estudio Haini","Q15941435","co0473611",NA
"Burrowes Film Group","Q5000499","co0072497",NA
"New Century Production","Q15633350","co0490354",NA
"Film Resource Unit","Q2864357","co0204244",NA
"Interface Media Group","Q6046270","co0114686",NA
"Pozzitive Television","Q7237070","co0034241",NA
"Camelot Entertainment Group","Q5025938","co0006731",NA
"CON-CAN Movie Festival","Q911345","co0095216",NA
"Irwin Entertainment","Q6075035","co0193199",NA
"Ambush Entertainment","Q4742003","co0091524",NA
"Chronicles of America","Q5114050","co0074022",NA
"Guacamole Films","Q5613168","co0082189",NA
"Toy Gun Films","Q7830508","co0268346",NA
"Offshoot Films","Q7079662","co0020443",NA
"Neomis Animation","Q3347122","co0210946",NA
"MRB Productions","Q6717433","co0122884",NA
"Tirelli Costumi","Q7809197","co0012392",NA
"Da Huang Pictures","Q5207248","co0146576",NA
"Look Effects","Q17140193","co0024957",NA
"Focus Films","Q5463918","co0137973",NA
"Digital Media Factory","Q5275922","co0159477",NA
"ArgoFilms","Q4789612","co0249843",NA
"Taylor Media","Q7690062","co0088457",NA
"Ghostfire Games","Q5557341","co0283700",NA
"Music for Miners","Q6941783","co0103621",NA
"Queensland Film Corporation","Q7270938","co0004395",NA
"Kensington Communications","Q6391437","co0101456",NA
"Victory Pictures Corporation","Q18470782","co0136910",NA
"Documentary Educational Resources","Q3033630","co0017395",NA
"Radio Bums","Q24963010","co0127655",NA
"Metro Weather Service","Q17090176","co0131874",NA
"ÍNN","Q8078568","co0280241",NA
"Heroes and Villains Entertainment","Q5743185","co0286310",NA
"L.C.P. di Pompei","Q6456256","co0019930",NA
"Pictak Cie","Q18388485","co0246742",NA
"Solaris Pictures","Q7557049","co0114534",NA
"Australian Film Development Corporation","Q4824147","co0062402",NA
"Art-O-Graf","Q16971052","co0137298",NA
"BWE Media Networks","Q22073385","co0469556",NA
"World Wide Motion Pictures Corporation","Q8036486","co0155628",NA
"FilmRoos","Q5448897","co0013950",NA
"Lost Colony Entertainment","Q6683941","co0108255",NA
"Momento Film","Q22080895","co0361818",NA
"Spiderwood Studios","Q7577090","co0194100",NA
"Whyte House Entertainment","Q7997945","co0347995",NA
"Whyte House Entertainment","Q7997945","co0038911",NA
"Special Entertainment","Q7574543","co0226451",NA
"Fairway Film Alliance","Q24885426","co0302203",NA
"Phaedra Cinema","Q7180001","co0007549",NA
"Oakhurst Productions","Q7073917","co0043192",NA
"Little Laureate","Q6650645","co0146365",NA
"Nathanael Wiseman","Q20687611","co0126611",NA
"Rising Falcon Cinema","Q22079483","co0164928",NA
"Nick Davis Productions","Q7027000","co0095725",NA
"Bolívar Films","Q4940313","co0067894",NA
"Sacred Cow Productions","Q7397072","co0050242",NA
"Killer Goose Films","Q6407487","co0282397",NA
"Bob Pomann","Q4933675","co0124304",NA
"Glavkino","Q4139122","co0360224",NA
"A-Company Filmed Entertainment","Q28857407","co0446153",NA
"A-Company Filmed Entertainment","Q28857407","co0488275",NA
"A-Company Filmed Entertainment","Q28857407","co0384481",NA
"Trash Video","Q7835731","co0158645",NA
"List of Armenian films of the 1950s","Q20744032","co0114189",NA
"Veriscope","Q16867167","co0052786",NA
"Social Capital Films","Q7550456","co0159028",NA
"Macquarie Film Corporation","Q6724969","co0065438",NA
"Poya Pictures","Q7236969","co0078241",NA
"Poya Pictures","Q7236969","co0332289",NA
"Costumi d'Arte","Q5175226","co0124104",NA
"Costumi d'Arte","Q5175226","co0080355",NA
"Costumi d'Arte","Q5175226","co0055382",NA
"KDK Factory","Q6327897","co0253505",NA
"Egyptian Arts Group","Q10310717","co0377894",NA
"Heretic Films","Q16995254","co0122791",NA
"Producers Library Service","Q19903574","co0009220",NA
"Studio Mao","Q85847407","co0217114",NA
"Allude Entertainment","Q24190796","co0456481",NA
"Anywhere Road","Q4778398","co0199072",NA
"Mountain River Films","Q25245463","co0516720",NA
"Life Is My Movie Entertainment","Q6544876","co0123751",NA
"Empire Design","Q5374067","co0033514",NA
"Æternam Films","Q16824324","co0093476",NA
"Gem Motion Picture Company","Q3100309","co0065525",NA
"Walturdaw Company Limited","Q25350288","co0120090",NA
"Clarendon Entertainment","Q5126862","co0009658",NA
"Martha Production","Q6774516","co0332774",NA
"Kaos Films","Q16852264","co0186356",NA
"Tigerlily Films","Q7801550","co0104400",NA
"Primeira Idade","Q18672490","co0500991",NA
"Benetone Hillin Entertainment","Q16840264","co0388051",NA
"Africa Films","Q85739993","co0764307",NA
"Mayflower Productions","Q48798886","co0124626",NA
"Mayflower Productions","Q48798886","co0520762",NA
"Tony Converse","Q7822101","co0071486",NA
"A/S Palladium","Q16324267","co0083828",NA
"Hexagon Productions","Q17006540","co0071605",NA
"Quick Off The Mark Productions","Q18736970","co0333343",NA
"Reichsanstalt für Film und Bild in Wissenschaft und Unterricht","Q2139689","co0250931",NA
"West's Pictures","Q7984168","co0089427",NA
"Collective Eye Films","Q19865510","co0201404",NA
"Cicala Filmworks","Q5119335","co0090502",NA
"Curium Films","Q24191874","co0423378",NA
"PB&J Television","Q7118322","co0172841",NA
"J. C. Williamson Film Company","Q6104009","co0084054",NA
"Romar Entertainment","Q7362901","co0139475",NA
"Nucleus Films","Q28404046","co0106540",NA
"UAA Films","Q7863699","co0112843",NA
"Charles Delacommune","Q28860754","co0026234",NA
"Southern International Productions","Q7570041","co0033304",NA
"Lang Film","Q18345055","co0118003",NA
"Effi Wizen","Q16187372","co0039806",NA
"Nicolao Atelier","Q7029454","co0049714",NA
"Fine & Mellow Productions","Q5450035","co0090400",NA
"London Screen (company)","Q25183069","co0147777",NA
"Picture This Productions","Q24190696","co0001497",NA
"European Video Corporation","Q16250061","co0095812",NA
"Film Archives, Inc.","Q5448910","co0138778",NA
"Pune tc","Q7260122","co0050176",NA
"Manoj Nandwana","Q19894458","co0368039",NA
"Dead Grandma","Q5245206","co0327195",NA
